,id,point,type,site
0,37a3f3c8-56ff-4221-840e-47003d89c05c,http://buildsys.org/ontologies/bldg1#bldg1.ZONE.AHU01.RM120.Zone_Air_Temp,https://brickschema.org/schema/Brick#Zone_Air_Temperature_Sensor,bldg1
1,37a3f3c8-56ff-4221-840e-47003d89c05c,http://buildsys.org/ontologies/bldg1#bldg1.ZONE.AHU01.RM120.Zone_Air_Temp,https://brickschema.org/schema/Brick#Zone_Air_Temperature_Sensor,bldg1
2,10c44888-5691-4f9e-831f-ce29f96ae468,http://buildsys.org/ontologies/bldg1#bldg1.ZONE.AHU02.RM112.Zone_Air_Temp,https://brickschema.org/schema/Brick#Zone_Air_Temperature_Sensor,bldg1
3,10c44888-5691-4f9e-831f-ce29f96ae468,http://buildsys.org/ontologies/bldg1#bldg1.ZONE.AHU02.RM112.Zone_Air_Temp,https://brickschema.org/schema/Brick#Zone_Air_Temperature_Sensor,bldg1
4,564950c4-d62d-44fd-8014-58acf3e4533f,http://buildsys.org/ontologies/bldg1#bldg1.ZONE.AHU01.RM115.Zone_Air_Temp,https://brickschema.org/schema/Brick#Zone_Air_Temperature_Sensor,bldg1
5,564950c4-d62d-44fd-8014-58acf3e4533f,http://buildsys.org/ontologies/bldg1#bldg1.ZONE.AHU01.RM115.Zone_Air_Temp,https://brickschema.org/schema/Brick#Zone_Air_Temperature_Sensor,bldg1
6,00334ace-f382-4d3c-a079-f91d870aa40c,http://buildsys.org/ontologies/bldg1#bldg1.ZONE.AHU02.RM110.Zone_Air_Temp,https://brickschema.org/schema/Brick#Zone_Air_Temperature_Sensor,bldg1
7,00334ace-f382-4d3c-a079-f91d870aa40c,http://buildsys.org/ontologies/bldg1#bldg1.ZONE.AHU02.RM110.Zone_Air_Temp,https://brickschema.org/schema/Brick#Zone_Air_Temperature_Sensor,bldg1
8,7d3d3aee-c505-4a4d-b1a4-019b8bcd9485,http://buildsys.org/ontologies/bldg1#bldg1.ZONE.AHU02.RM100.Zone_Air_Temp,https://brickschema.org/schema/Brick#Zone_Air_Temperature_Sensor,bldg1
9,7d3d3aee-c505-4a4d-b1a4-019b8bcd9485,http://buildsys.org/ontologies/bldg1#bldg1.ZONE.AHU02.RM100.Zone_Air_Temp,https://brickschema.org/schema/Brick#Zone_Air_Temperature_Sensor,bldg1
10,a2b6510f-cf4f-4edd-a080-b8f4b35968d9,http://buildsys.org/ontologies/bldg1#bldg1.ZONE.AHU01.RM107A.Zone_Air_Temp,https://brickschema.org/schema/Brick#Zone_Air_Temperature_Sensor,bldg1
11,a2b6510f-cf4f-4edd-a080-b8f4b35968d9,http://buildsys.org/ontologies/bldg1#bldg1.ZONE.AHU01.RM107A.Zone_Air_Temp,https://brickschema.org/schema/Brick#Zone_Air_Temperature_Sensor,bldg1
12,1945a6e7-ea50-44d0-a498-0bb4b7ec1ad7,http://buildsys.org/ontologies/bldg1#bldg1.ZONE.AHU02.RM103.Zone_Air_Temp,https://brickschema.org/schema/Brick#Zone_Air_Temperature_Sensor,bldg1
13,1945a6e7-ea50-44d0-a498-0bb4b7ec1ad7,http://buildsys.org/ontologies/bldg1#bldg1.ZONE.AHU02.RM103.Zone_Air_Temp,https://brickschema.org/schema/Brick#Zone_Air_Temperature_Sensor,bldg1
14,83a50f19-24a6-4acf-af12-d83129e6aea1,http://buildsys.org/ontologies/bldg1#bldg1.ZONE.AHU01.RM107B.Zone_Air_Temp,https://brickschema.org/schema/Brick#Zone_Air_Temperature_Sensor,bldg1
15,83a50f19-24a6-4acf-af12-d83129e6aea1,http://buildsys.org/ontologies/bldg1#bldg1.ZONE.AHU01.RM107B.Zone_Air_Temp,https://brickschema.org/schema/Brick#Zone_Air_Temperature_Sensor,bldg1
16,5a70fc66-8b46-4919-a43e-e4b73dd09abd,http://buildsys.org/ontologies/bldg1#bldg1.CHW.Building_Chilled_Water_Return_Temp,https://brickschema.org/schema/Brick#Chilled_Water_Return_Temperature_Sensor,bldg1
17,5a70fc66-8b46-4919-a43e-e4b73dd09abd,http://buildsys.org/ontologies/bldg1#bldg1.CHW.Building_Chilled_Water_Return_Temp,https://brickschema.org/schema/Brick#Chilled_Water_Return_Temperature_Sensor,bldg1
18,5345c909-f9ac-47e0-831d-2560a3e87542,http://buildsys.org/ontologies/bldg1#bldg1.CHW.Loop_Chilled_Water_Return_Temp,https://brickschema.org/schema/Brick#Chilled_Water_Return_Temperature_Sensor,bldg1
19,5345c909-f9ac-47e0-831d-2560a3e87542,http://buildsys.org/ontologies/bldg1#bldg1.CHW.Loop_Chilled_Water_Return_Temp,https://brickschema.org/schema/Brick#Chilled_Water_Return_Temperature_Sensor,bldg1
20,294655d6-919b-4376-a625-65a34799bf49,http://buildsys.org/ontologies/bldg1#bldg1.AHU.AHU02.Cooling_Valve_Output,https://brickschema.org/schema/Brick#Valve_Command,bldg1
21,294655d6-919b-4376-a625-65a34799bf49,http://buildsys.org/ontologies/bldg1#bldg1.AHU.AHU02.Cooling_Valve_Output,https://brickschema.org/schema/Brick#Valve_Command,bldg1
22,294655d6-919b-4376-a625-65a34799bf49,http://buildsys.org/ontologies/bldg1#bldg1.AHU.AHU02.Cooling_Valve_Output,https://brickschema.org/schema/Brick#Cooling_Command,bldg1
23,294655d6-919b-4376-a625-65a34799bf49,http://buildsys.org/ontologies/bldg1#bldg1.AHU.AHU02.Cooling_Valve_Output,https://brickschema.org/schema/Brick#Cooling_Command,bldg1
24,6bfc2495-f9bf-43b2-a328-51a3deb99271,http://buildsys.org/ontologies/bldg1#bldg1.AHU.AHU02.CCV,https://brickschema.org/schema/Brick#Valve_Command,bldg1
25,6bfc2495-f9bf-43b2-a328-51a3deb99271,http://buildsys.org/ontologies/bldg1#bldg1.AHU.AHU02.CCV,https://brickschema.org/schema/Brick#Valve_Command,bldg1
26,6bfc2495-f9bf-43b2-a328-51a3deb99271,http://buildsys.org/ontologies/bldg1#bldg1.AHU.AHU02.CCV,https://brickschema.org/schema/Brick#Cooling_Command,bldg1
27,6bfc2495-f9bf-43b2-a328-51a3deb99271,http://buildsys.org/ontologies/bldg1#bldg1.AHU.AHU02.CCV,https://brickschema.org/schema/Brick#Cooling_Command,bldg1
28,c632b4c5-8744-4540-aa70-9b2d095cf6c3,http://buildsys.org/ontologies/bldg1#bldg1.AHU.AHU01.CCV,https://brickschema.org/schema/Brick#Valve_Command,bldg1
29,c632b4c5-8744-4540-aa70-9b2d095cf6c3,http://buildsys.org/ontologies/bldg1#bldg1.AHU.AHU01.CCV,https://brickschema.org/schema/Brick#Valve_Command,bldg1
30,c632b4c5-8744-4540-aa70-9b2d095cf6c3,http://buildsys.org/ontologies/bldg1#bldg1.AHU.AHU01.CCV,https://brickschema.org/schema/Brick#Cooling_Command,bldg1
31,c632b4c5-8744-4540-aa70-9b2d095cf6c3,http://buildsys.org/ontologies/bldg1#bldg1.AHU.AHU01.CCV,https://brickschema.org/schema/Brick#Cooling_Command,bldg1
32,7c54d613-bec5-4a5d-84a8-e83e97990809,http://buildsys.org/ontologies/bldg1#bldg1.AHU.AHU01.Cooling_Valve_Output,https://brickschema.org/schema/Brick#Valve_Command,bldg1
33,7c54d613-bec5-4a5d-84a8-e83e97990809,http://buildsys.org/ontologies/bldg1#bldg1.AHU.AHU01.Cooling_Valve_Output,https://brickschema.org/schema/Brick#Valve_Command,bldg1
